coup	l	n	E0[GeV]	M[GeV] 	<1/r>  	Ek[GeV]
p	1	1	 1.0511	 10.7771	 0.5176	 0.0884
p	1	2	 1.2485	 10.9745	 0.4566	 0.1890
p	1	3	 1.4449	 11.1709	 0.3641	 0.2781
p	1	4	 1.4883	 11.2143	 0.3994	 0.2567
p	1	5	 1.6490	 11.3750	 0.3439	 0.3709
p	2	1	 1.1631	 10.8891	 0.3704	 0.1530
p	2	2	 1.3605	 11.0865	 0.3403	 0.2457
p	2	3	 1.5537	 11.2797	 0.2998	 0.3313
p	2	4	 1.6154	 11.3414	 0.3126	 0.3074
p	2	5	 1.7502	 11.4762	 0.2791	 0.4161
p	0	1	 1.3461	 11.0721	 0.4633	 0.1922
p	0	2	 1.6303	 11.3563	 0.3870	 0.3026
p	0	3	 1.8855	 11.6115	 0.3390	 0.3980
p	0	4	 2.1208	 11.8468	 0.3052	 0.4839
p	0	5	 2.3413	 12.0673	 0.2797	 0.5631
m	1	1	 1.1084	 10.8344	 0.3776	 0.1320
m	1	2	 1.3276	 11.0536	 0.3367	 0.2350
m	1	3	 1.5361	 11.2621	 0.3059	 0.3281
m	1	4	 1.7355	 11.4615	 0.2819	 0.4136
m	1	5	 1.9270	 11.6530	 0.2624	 0.4928
m	2	1	 1.2138	 10.9398	 0.3075	 0.1886
m	2	2	 1.4291	 11.1551	 0.2791	 0.2850
m	2	3	 1.6339	 11.3599	 0.2572	 0.3731
m	2	4	 1.8298	 11.5558	 0.2396	 0.4546
m	2	5	 2.0182	 11.7442	 0.2250	 0.5309
