coup	l	n	E0[GeV]	M[GeV] 	<1/r>  	Ek[GeV]
p	1	1	 1.1962	 4.1502	 0.4123	 0.1611
p	1	2	 1.5506	 4.5046	 0.3302	 0.3285
p	1	3	 1.8543	 4.8083	 0.2456	 0.4074
p	1	4	 1.9038	 4.8578	 0.2948	 0.4658
p	1	5	 2.2217	 5.1757	 0.2311	 0.6047
p	2	1	 1.4081	 4.3621	 0.2809	 0.2667
p	2	2	 1.7474	 4.7014	 0.2443	 0.4158
p	2	3	 2.0551	 5.0091	 0.2032	 0.5056
p	2	4	 2.0922	 5.0462	 0.2264	 0.5242
p	2	5	 2.3900	 5.3440	 0.1902	 0.6741
p	0	1	 1.6415	 4.5955	 0.3263	 0.3114
p	0	2	 2.0864	 5.0404	 0.2680	 0.4741
p	0	3	 2.4803	 5.4343	 0.2327	 0.6143
p	0	4	 2.8404	 5.7944	 0.2084	 0.7407
p	0	5	 3.1761	 6.1301	 0.1903	 0.8573
m	1	1	 1.3250	 4.2790	 0.2836	 0.2402
m	1	2	 1.6988	 4.6528	 0.2443	 0.4007
m	1	3	 2.0446	 4.9986	 0.2177	 0.5419
m	1	4	 2.3692	 5.3232	 0.1980	 0.6698
m	1	5	 2.6771	 5.6311	 0.1828	 0.7882
m	2	1	 1.5170	 4.4710	 0.2258	 0.3311
m	2	2	 1.8758	 4.8298	 0.2006	 0.4786
m	2	3	 2.2103	 5.1643	 0.1823	 0.6113
m	2	4	 2.5260	 5.4800	 0.1683	 0.7334
m	2	5	 2.8266	 5.7806	 0.1570	 0.8474
